title,model_answer,student_answer,human_score,max_score,subject
Prompt3 Typed Essay 5978,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 5978 - Content=0/3, PromptAdherence=0/3, Language=1/3, Narrativity=1/3. Full essay text requires training_set_rel3.tsv.]",1.33,10,reading
Prompt3 Typed Essay 5979,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 5979 - Content=3/3, PromptAdherence=3/3, Language=2/3, Narrativity=2/3. Full essay text requires training_set_rel3.tsv.]",8.67,10,reading
Prompt3 Typed Essay 5980,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 5980 - Content=2/3, PromptAdherence=2/3, Language=2/3, Narrativity=1/3. Full essay text requires training_set_rel3.tsv.]",6.17,10,reading
Prompt3 Typed Essay 5981,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 5981 - Content=0/3, PromptAdherence=1/3, Language=0/3, Narrativity=0/3. Full essay text requires training_set_rel3.tsv.]",0.83,10,reading
Prompt3 Typed Essay 5982,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 5982 - Content=1/3, PromptAdherence=1/3, Language=1/3, Narrativity=1/3. Full essay text requires training_set_rel3.tsv.]",3.33,10,reading
Prompt3 Typed Essay 5983,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 5983 - Content=1/3, PromptAdherence=1/3, Language=1/3, Narrativity=1/3. Full essay text requires training_set_rel3.tsv.]",3.33,10,reading
Prompt3 Typed Essay 5984,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 5984 - Content=0/3, PromptAdherence=0/3, Language=1/3, Narrativity=1/3. Full essay text requires training_set_rel3.tsv.]",1.33,10,reading
Prompt3 Typed Essay 5985,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 5985 - Content=0/3, PromptAdherence=0/3, Language=0/3, Narrativity=0/3. Full essay text requires training_set_rel3.tsv.]",0.0,10,reading
Prompt3 Typed Essay 5986,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 5986 - Content=2/3, PromptAdherence=2/3, Language=2/3, Narrativity=2/3. Full essay text requires training_set_rel3.tsv.]",6.67,10,reading
Prompt3 Typed Essay 5987,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 5987 - Content=3/3, PromptAdherence=3/3, Language=2/3, Narrativity=3/3. Full essay text requires training_set_rel3.tsv.]",9.17,10,reading
