Essay ID,Content,Prompt Adherence,Language,Narrativity
5978,0,0,1,1
5979,3,3,2,2
5980,2,2,2,1
5981,0,1,0,0
5982,1,1,1,1
5983,1,1,1,1
5984,0,0,1,1
5985,0,0,0,0
5986,2,2,2,2
5987,3,3,2,3
5988,3,3,2,3
5989,1,1,2,2
5990,2,2,3,3
5991,1,1,1,1
5992,1,2,1,2
5993,1,1,1,1
5994,1,1,1,1
5995,2,2,3,3
5996,2,2,2,2
5997,2,2,2,2
5998,2,2,2,2
5999,0,0,0,0
6000,3,2,2,3
6001,0,1,0,0
6002,2,2,2,2
6003,3,3,3,3
6004,0,0,0,0
6005,1,1,1,1
6006,1,2,2,2
6007,2,3,2,3
6008,1,1,1,1
6010,2,2,2,2
6011,0,0,0,0
6012,0,0,0,0
6013,1,1,1,1
6014,3,3,3,3
6015,2,3,2,3
6016,2,2,2,2
6017,1,1,2,2
6018,0,0,0,0
6019,1,1,1,2
6020,1,1,1,2
6021,2,2,2,2
6022,1,2,1,1
6023,3,3,2,3
6024,1,1,1,2
6025,1,1,1,1
6026,3,3,3,3
6027,2,3,2,3
6028,0,1,1,1
6029,1,1,1,1
6030,2,3,3,3
6031,2,2,1,2
6032,2,2,2,2
6033,2,2,2,2
6034,2,2,2,2
6035,1,1,1,1
6036,1,2,1,2
6037,2,2,1,1
6038,1,1,1,1
6039,1,1,1,1
6040,1,1,0,0
6041,0,0,0,0
6042,2,2,3,2
6043,2,2,1,1
6044,1,0,0,0
6045,2,2,1,2
6046,2,2,2,2
6047,1,2,2,1
6048,1,1,1,1
6049,1,2,2,1
6050,3,3,2,3
6051,1,2,1,2
6052,1,1,1,1
6053,1,0,0,0
6054,2,2,1,2
6055,2,2,2,2
6056,1,2,1,1
6057,2,2,2,2
6058,1,1,1,1
6059,1,1,1,1
6060,0,0,0,0
6061,2,2,2,2
6062,2,2,1,1
6063,2,1,1,1
6064,1,1,1,1
6065,2,3,2,2
6066,1,0,1,0
6067,1,1,1,1
6068,2,2,2,1
6069,2,2,2,2
6070,1,1,1,2
6071,3,3,3,3
6072,3,3,2,2
6073,2,1,2,2
6074,1,1,2,2
6075,3,3,2,3
6076,2,2,2,2
6077,1,1,1,1
6078,1,1,1,1
6079,2,2,2,2
6080,2,3,2,3
6081,1,1,1,1
6082,1,0,1,0
6083,0,0,0,0
6084,2,3,2,2
6085,3,3,2,3
6086,1,1,1,1
6087,1,1,1,1
6088,3,2,2,2
6089,2,2,2,2
6090,2,2,2,1
6091,2,2,2,2
6092,0,1,0,0
6093,0,0,0,0
6094,2,2,2,2
6095,3,3,3,3
6096,1,1,1,1
6097,1,1,0,1
6098,2,2,2,2
6099,0,0,0,0
6100,2,2,1,1
6101,1,1,1,1
6102,2,2,1,2
6103,3,3,2,3
6104,0,0,0,0
6105,2,2,2,2
6106,2,1,1,1
6107,2,2,2,2
6108,1,1,1,1
6109,1,2,1,1
6110,2,2,2,2
6111,2,2,1,1
6112,2,1,1,1
6113,2,2,2,2
6114,0,1,0,1
6115,0,0,0,0
6116,2,2,2,2
6117,1,2,2,2
6118,2,2,1,2
6119,1,1,1,1
6120,2,2,1,1
6121,1,2,2,2
6122,1,1,1,1
6123,2,2,2,2
6124,3,2,2,3
6125,2,2,2,1
6126,0,0,1,1
6127,2,3,2,3
6128,3,3,3,3
6129,2,2,1,1
6130,0,1,1,1
6131,1,1,1,1
6132
